status,type,milestone_id,title
done,refactor,b2,Switch to C#
done,feat,b2,Get basic server working
done,feat,b2,Render tiles and player to screen
done,feat,b2,Send movement to server and server moves player
done,imp,b2,Turn system with action points
done,feat,b2,Add multiple avatars controlled by different players
done,feat,b2,Make local only play use a dummy server with separate state
done,feat,b2,Allow the server host to play
done,feat,b2,Show each player's cursor
done,feat,b2,Add basic melee targetting & attacking
done,feat,b2,Add enemy
done,feat,b2,Add hitpoints and enemy death
done,refactor,b2,Add a GameEntityType class for sharing constant data between entities
done,feat,b2,Make enemy move toward player
done,perf,b2,Add StringNames lookup class to reduce GC
done,devtool,b2,Add a debug console
done,feat,b2,Add room generation
done,feat,b2,Add random monster spawns
done,imp,b2,"Add collision checks - entities shouldn't walk over other players, enemies or walls"
done,devtool,b2,Add entity info debug tool
done,imp,b2,Add pathfinding (Dijkstra maps?)
done,feat,b2,Drag with middle mouse to move map
done,bug,b2,Fix pathfinding when allies go through door ahead (waits up to 3 turns if path blocked)
done,imp,b2,Highlight tile under cursor
done,refactor,b2,Move all state updates to events (no more general entity update)
done,imp,b2,Add basic hit and miss chances
done,imp,b2,Add hit indicators back
done,imp,b2,Add SFX back in
done,refactor,b3,Add vite and TS for frontend runner
done,refactor,b3,Get hot reloading working again
done,feat,b3,Run multiple instances in one tab
done,feat,b3,Get basic fake server relay working
done,feat,b3,Render tiles
done,feat,b3,Add players and make them move
done,refactor,b3,Add zoom level to state instead of magic numbers
done,bug,b3,Make the local/optimistic command feedback work
done,imp,b3,Add a spring camera that moves to center on the player
done,feat,b3,Add procedural generation back in
done,feat,b3,Add keys to zoom in/out (-/=)
done,devtool,b3,Added a host state visualisation toggle
done,devtool,b3,Add a simple stutter checker
done,feat,b3,Add djikstra's algorithm
done,devtool,b3,Hot reload - add sound when rebooting or failing to compile
done,refactor,b3,Make event handlers able to operate on both host and client state
done,refactor,b3,App error type that can be returned from various important places
nope,refactor,b3,Send tile data to client
done,refactor,b3,Switch to deterministic state recreation on all clients
done,feat,b3,Send game state to newly joined players
done,devtool,b3,Add a test runner in the fresnel host to call wasm tests() export
nope,bug,b3,"Player cursor missing when net delay=0, race condition?"
done,bug,b3,Make players spawn in a room
done,feat,b3,Add player pathfinding
done,feat,b3,Add turn system again
done,imp,b3,Make turns delayed and interruptable
done,imp,b3,Continue showing planned path after setting player cmd
done,feat,b3,Added follow command
